And this?	و هذه؟
Come!	تعال
(CLEARS THROAT) - Yeah? - Um.	- نعم؟
Tom!	(توم)!
Just like that.	هكذا
Copy that.	علم بذالك.
- All right,	-حسنا
No!	لا!
-I told you, it's not our department.	-لقد قلت لك للتو، إن هذا ليس قسمنا، بل من يتولى ذلك هم الرجال الذين يرتدون السراويل المضحكة
Seems that way.	يبدو ذلك
What are we doing here?	ماذا نفعل هنا؟
I'm very pleased to meet you.	انا سعيد جداً بلقائك
Get out of my way.	ابتعد من طريقي
Walk away. I got this.	ابتعد, سأهتم بالأمر
Jordan, just watch your six, okay?	(جوردن)
Emma?	إيما؟
- Where are we going?	-إلى أين سنذهب؟
- Okay.	-حسنا
Okay.	لا باس
I won the coin toss.	لقد ربحتُ العملة المعدنية
Hey!	مرحبا!
Kiribati	زمبابوي
- They haven't yet.	هل أنت أصم؟
Certainly would not want to take the wrong animal Genial.	لطيف.
I like it.	يعجبني.
Um...	أعرف أننا قلنا أننا سنأخذ حبوب،
Sorry.	آسف
To leave a message for Wyatt Bennett, press one.	(لتترك رسالة لـ(وايت بينت إضغط 1 ....
You shouldn't have.	(كلارك)، لم تكن مضطراً.
Mom! Mom !	أمي
- Unbelievable.	لا يُصدق
All right, now...	...حسناً الآن
Okay.	!
- Not anymore.	ليس بعد الآن.
Out.	اعلان الامر
_	أنابخير شكراً لك
Therein they hear no vain or sinful discourse .	لا يسمعون في الجنة باطلا ولا ما يتأثمون بسماعه ، إلا قولا سالمًا من هذه العيوب ، وتسليم بعضهم على بعض .
Only...	فقط...
Hey!	-مرحباً !
Are you done?	هل انتهيتي
Yeah, yeah!	أجل!
Sleep well.	نومآ هانآ
Why are you here?	-لِمَ أنتَ هُنا؟
Excuse me?	أعذرني؟
I'm sorry.	أنا آسف.
Are those for me?	هل هذه لي؟
Exactly.	بالضبط
Go eat something.	إنتظري...
Here we go.	ها نحن مجدداً.
All right.	حَسَناً.
Am I?	هل أنا بخير ؟
Where were you?	أين كنتِ ؟
Friends.	أصدقاء
Allison!	أليسون!
Well, I'd...	حسنا ..
What are you saying?	ما الذي تقوليه ؟
Stop it!	توقف عن ذلك!
Okay.	الموافقة.
or orders piety ?	أرأيت أعجب مِن طغيان هذا الرجل ( وهو أبو جهل ) الذي ينهى عبدًا لنا إذا صلَّى لربه ( وهو محمد صلى الله عليه وسلم ) ؟ أرأيت إن كان المنهي عن الصلاة على الهدى فكيف ينهاه ؟ أو إن كان آمرًا غيره بالتقوى أينهاه عن ذلك ؟ أرأيت إن كذَّب هذا الناهي بما يُدعى إليه ، وأعرض عنه ، ألم يعلم بأن الله يرى كل ما يفعل ؟ ليس الأمر كما يزعم أبو جهل ، لئن لم يرجع هذا عن شقاقه وأذاه لنأخذنَّ بمقدَّم رأسه أخذًا عنيفًا ، ويُطرح في النار ، ناصيته ناصية كاذبة في مقالها ، خاطئة في أفعالها . فليُحْضِر هذا الطاغية أهل ناديه الذين يستنصر بهم ، سندعو ملائكة العذاب . ليس الأمر على ما يظن أبو جهل ، إنه لن ينالك -أيها الرسول- بسوء ، فلا تطعه فيما دعاك إليه مِن تَرْك الصلاة ، واسجد لربك واقترب منه بالتحبب إليه بطاعته .
- Oh. My apologies.	-عذراً
If you look for it you can see little dots coming into the upper right hand corner of the screen.	يمكنكم رؤية نقاط صغيره تظهر على الزاويه العليا اليمنى من الشاشه
That's nice.	هذا لطيف
Welcome back.	عوداً حميداً
No worries.	لا تقلقي
Not yet.	ليس بعد.
Please.	من فضلكِ
What a cute t-shirt.	لطيف للغايه
Stay with me!	! ابقي معي
- Mm-hmm.	-نعم .
Sofia.	"صوفيا"
- What's up?	-ما الأمر؟
Listen.	الاستماع.
_	لا سوف الغي المادة.
We're so close.	نحن قريبون جداً
Jesus.	ياللهى
George.	جورج
For what?	لمَ؟
No, no, no.	يحدث؟
- Beth!	هل هذا لي؟
Maybe.	ربما
Yes, sir.	أجل سيدي.
You see that?	هل ترين هذا ؟
What do you expect of me?	ما الذي تتوقعه مني ؟
Mr. Ross.	سيد روس
Peter.	-بيتر).
It's your wife you're talking to	أنا زوجتك
Kate...	(كايت)
It's all...	الأمر كله
Bones?	. -المساعدة في الطريق
What do you say?	ما رأيك ؟
Mr. Clare.	السيد (كلير)
How about you?	تعتقد ذلك ؟
Off	أطفىء.
Excuse me.	معذرة
Open them.	افتحيهما
- It's a.454 from a Ruger Casull.	ـ انه 454 من روجر كاسل
Cora?	باستطاعتي التعامل معها
What?	-ماذا؟
Come on, guys.	-بربّكما يا رفاق .
Enchanté.	تشرفت بمعرفتك
Don't you get it?	ألا تفهمين؟
That is an accurate assessment. Is it much further?	أنه تقدير دقيق للأمر.
_	.منقومالـشجرة... .
Hi.	مرحبا.
Your friend with the truck isn't showing up.	لم يظهر صديقك صاحب الشاحنة.
Marcel!	(مارسيل)!
- Yes!	- نعم!
I couldn't.	لم أستطع.
- Mon Dieu!	-يا إلهي !
I don't think "she hates Snow White" will hold up in a court, Henry.	''(حسناً، لا أعتقد أنّ ''تكره (سنو وايت دليلٌ يصمد في المحكمة (هنري).
Remove Header	ابحث
- Bye. - Bye.	إلى اللقاء - إلى اللقاء -
Where are you?	أين أنتِ؟
To God belongs all that is in the heavens and the earth ; and whether you reveal what is in your heart or conceal it , you will have to account for it to God who will pardon whom He please and punish whom He will , for God has the power over all things .	لله ملك السماوات والأرض وما فيهما ملكًا وتدبيرًا وإحاطة ، لا يخفى عليه شيء . وما تظهروه مما في أنفسكم أو تخفوه فإن الله يعلمه ، وسيحاسبكم به ، فيعفو عمن يشاء ، ويؤاخذ من يشاء . والله قادر على كل شيء ، وقد أكرم الله المسلمين بعد ذلك فعفا عن حديث النفس وخطرات القلب ما لم يتبعها كلام أو عمل ، كما ثبت ذلك عن رسول الله صلى الله عليه وسلم .
-Tony	(توني)
- Hey.	-مهلاً !
♪ ♪ Let's go.	هيّا بنا
If that's someone with painkillers, just let them in.	اذا كان شخصا مع المسكنات فقط ادخليه
- Sit down.	-إجلسي .
How did you find me?	كيف عرفتي؟
Okay?	حسناً؟
Fine.	كيف حالك اليوم؟ - جيد, شكراً -
Nothing.	لا شيء.
Shut up!	-اخرسي !
We made it!	نجحنا
- Yeah?	- بلى؟
Done.	معمول.
They did not receive the money, you nitwit!	لم يستلموا الأموال أيـّها الأحمق!
When was the last time you saw them?	متى كانت آخر مرة شاهدتيها فيها؟
Did you hear what I said?	هل سمعت ما قلته؟
How do you mean?	ما الذي تعنيه؟
Your mom?	والدتك ؟
-You would?	- أنت؟
This is a bad idea.	هذه فكرة سيئة.
Never!	ابدا
Yeah!	{\cH7CFDD4}! نـعم
OK, bye.	حسناً إلى اللقاء
Nice to meet you.	تشرفت بمقابلتك
This approach to Islamic texts – coming from both secular and religiously oriented Muslims, as well as from non-Muslims with an interest in the subject – calls into question the compatibility of Islam and democracy, and also whether Islam is capable with peace and moderation.	وهذا الفهم للنصوص الإسلامية ـ الآتي سواء من العلمانيين أو المتدينين من المسلمين ـ يدعو إلى التشكيك في توافق الإسلام مع الديمقراطية، والتساؤل حول ما إذا كان الإسلام مؤهلاً لاستيعاب السلام والاعتدال.
The Pierce Holding Company is utterly disintegrated.	شركة بيرس القابضة تفككت تماما
Champ.	يا بطل
Shut up!	اصمتوا!
This way?	هذا الطريقِ؟
It's fine. It's fine.	لا بأس لا بأس
Is that clear?	-أهذا واضح
- Hmm.	- هم.
Thank you.	شكراً لكِ
The fire of Allah , that is ablaze .	« نار الله الموقدة » المسعرة .
HE'S GOTTA BE OUT THERE SOMEWHERE.	لو أنه يمكنني إعلامه بأنني رأيته فحسب لابد من أنه موجود بمكان ما
Okay.	حسناً ، ماذا لو لم يستطع؟ حسناً
He's an idiot.	أنه أحمق
I didn't ask.	لم أسأل
On the day when He will call you forth , then shall you obey Him , giving Him praise , and you will think that you tarried but a little ( while ) .	يوم يناديكم خالقكم للخروج من قبوركم ، فتستجيبون لأمر الله ، وتنقادون له ، وله الحمد على كل حال ، وتظنون -لهول يوم القيامة- أنكم ما أقمتم في الدنيا إلا زمنًا قليلا ؛ لطول لبثكم في الآخرة .
I have two boys. I'm not with them enough.	لدي ولدان ولا املك الوقت الكافي معهما
Okay.	-حسنًا
( click, creaking ) We're in.	سنبدأ
I have a plan.	-لدي خطة
[Voice breaking] Oh, no.	لا..
Okay.	حسنُ.
Excuse me. It's been a long night.	أعتذر, لقد كانت ليلة طويلة
Yeah!	أجل
You're fired.	أنت مفصولة
Don't!	إيــــــــــاك!
Freeze!	تجمد مكانك !
Therefor hath he no lover here this day ,	فليس لهذا الكافر يوم القيامة قريب يدفع عنه العذاب ، وليس له طعام إلا مِن صديد أهل النار ، لا يأكله إلا المذنبون المصرُّون على الكفر بالله .
How are you?	كيف حالك ؟
Hello.	مرحبا.
Who are you?	من أنتِ؟
- Frank.	فرانك).
You fool!	أيها الأحمق
I just...	...أنا فقط
But if you've still found nothing years later, maybe it's not your fault at all.	إذا لم تكتشفي ذلك حتى الآن ربما فالخطأ ليس خطأكِ
Hey!	! أنت
Go on.	-هيـَّا، خذي منهـا .
Okay?	حسناً؟
Okay.	ـ أجل
Right.	أنت
I'm all right.	إننىبخير.
Awesome!	- رائع
Walter!	(والتر)!
-What?	_
- What's your thinking?	ما رأيك؟
What?	ولكن...
And fear.	و الخوف
Um...	أنا...
Steela.	ستيلا
-What else?	وماذا أيضا؟
They did?	حقّا؟
Oh, my God!	يا الهي ...
Yes?	نعم؟
Don't you?	!
- Oh, my God.	.. يا إلهي -
And, action.	مثلوا
Whose was this?	من كان هذا؟
- Thank you! You're welcome.	شكراَ
Great idea!	فكرة رائعة
Go!	اذهب
Oh, my god. You two, what do you want?	يا إلاهي.
What do you say to Uncle Bob? Thank you.	شكرًا.
-Are you okay?	-هل أنتِ بخير ؟
There you go.	هناك تذهب.
- Great.	-رائع .
Now what?	الان ماذا؟
U.S.A.!	الولايات المتحدة الأمريكية!
Give it a try.	فلتجربه
I can't do it. I can't.	لا أستطيع
- Great.	-عظيم عند 10:
Bob?	(بوب)؟
That's, uh, something UMart does not do.	-وهذا شئ لا تفعله "يومارت "
You can make dinner.	بإمكانك طبخ وجبة العشاء
If everything goes the way it looks, I might get drafted early.	إذا سار كلّ شيء بهذه الطريقة لربّما يتم إختاري مبكرا
You gotta be kidding me?	لابد أنكم تمزحون؟
It's the only name keeps repeating.	إنه الإسم الوحيد الذي تكرر.
Everything.	‏كل شيء. ‏
Don't come back without money.	أبتعدوا! لا تعودوا بدون نقود , هيا!
No, it's Chicca.	لا، أنه شيكو.
No justice.	لا عدالة.
Jakarta 13410	Jakarta 13410
If they haven't cleaned it out yet.	إذا لم يكونوا قد نظفوه بعد
Eat me.	كُلْني.
Looks great!	يبدو رائعا!
What's going on with us?	ماذا يحدث معنا؟
- Yeah, ex-cop.	-نعم، إنه شرطي سابق
And then I realized it was all because you didn't love anybody.	ومن ثمّ أدركتُ... كان ذلك لأنّكَ لم تحبّ أحداً
Glad you like it, Mickey.	يسعدني أن المكان أعجبك يا (ميكي)
That pledge not only reaffirms our faith in the United Nations as a unique global institution designed to address major challenges, but it also raises expectations about the capacity of the Organization to realize our common goals and aspirations.	وذلك التعهد لا يعيد تأكيد إيماننا بالأمم المتحدة كمؤسسة عالمية فريدة في نوعها لا ترمي إلى التصدي إلى التحديات الكبرى فحسب، وإنما يثير آمالا بشأن قدرة المنظمة على تحقيق أهدافنا وتطلعاتنا المشتركة أيضا.
Everyone in the city is going be looking for me.	كل شخص في المدينة سيبحث عني
Stop shooting or we will return fire.	توقّف عن إطلاق النار أو سنرد على إطلاق النار
Then don't go today.	-إذًا، لا تذهب اليوم .
Thank you.	شكرا لكي
Still, many families were close and devoted to each other.	ما زالت العديد من الأسر قريبة وتساعد بعضها البعض
I've been spending my days with a brand-new man.	لقد قضيت ايامي مع رجل جديد كلياً
Dan, I just... I want to tell...	دان أنا فقط أريد أن أقول لك
Hey, how you doing?	مرحباً، كيف حالك؟
You brought a date?	) أحضرتِ موعدكِ هنا ؟
Jimmy, why are you driving a Ferrari?	جيمي", لماذا تقود الفيراري"
- Where else?	نعم، ال12. -أين أيضا؟
Is that the reason he jumped?	هَلْ ذلك السببِ يَقْفزُ؟
Lick-Lick.	لعقة لعقةِ.
Ohhh! Honey!	عزيزي
Consideration of reports 23	الجزء الأول - مواد عامة
You didn't tell her?	أنت لم تخبرها؟
The circular also establishes regular on-site examination of banks and financial institutions aimed at detecting suspicious transactions.	ويُرسي التعميم أيضا عملية فحص معاملات المصارف والمؤسسات المالية في الموقع بصفة منتظمة للكشف عن المعاملات المشبوهة.
A period of 60 days for the second offence.	و للتهمه الثانيه ستون يوما اخرين
You...	.. أنت...
It's not ideal, but it's the best we could do on short notice.	ليس مثاليّاً... و لكنّه أفضل ما بوسعنا فعله... في هذا الوقت القصير...
