============================================================
CONVERSATIONAL ARABIC VOCABULARY - CORE CURRICULUM
============================================================

~90 core words/phrases organized by lesson (10-12 per lesson).
Additional vocabulary introduced dynamically by LLM based on context.

Format: english | arabic | transliteration
here | هُنَا | hunaa
there | هُنَاكَ | hunaaka
today | الْيَوْمَ | al-yawma

# Essential phrases
where is the school? | أَيْنَ الْمَدْرَسَةُ؟ | ayna al-madrasa?
when did you go? | مَتَى ذَهَبْتَ؟ | mataa dhahabta?


# ========== LESSON 8: POSSESSIVE PRONOUNS & IDAAFAH ==========

my | ـِي | -ii
your (m.sing) | ـَكَ | -ka
your (f.sing) | ـِكِ | -ki
his | ـُهُ | -hu
her | ـَهَا | -haa
father | أَبٌ | ab
mother | أُمٌّ | umm
brother | أَخٌ | akh
sister | أُخْتٌ | ukht
family | أُسْرَة | usra

# Essential phrases
this is my book | هَذَا كِتَابِي | haadhaa kitaabii
the teacher's house | بَيْتُ الْمُعَلِّمِ | baytu al-mu'allimi


============================================================
# BONUS: ESSENTIAL PHRASES (always available)
============================================================

# Greetings
peace be upon you | السَّلَامُ عَلَيْكُمْ | as-salaamu 'alaykum
and upon you peace | وَعَلَيْكُمُ السَّلَامُ | wa 'alaykum as-salaam
good morning | صَبَاحُ الْخَيْرِ | sabaah al-khayr
hello | مَرْحَبًا | marhaban
goodbye | وَدَاعًا | wadaa'an
thank you | شُكْرًا | shukran

# Polite expressions
please | مِنْ فَضْلِكَ | min fadlik
excuse me | عَفْوًا | 'afwan
yes | نَعَمْ | na'am
no | لَا | laa

# Common questions
what is your name? | مَا اسْمُكَ؟ | ma ismuka?
my name is | اسْمِي | ismii
how are you? | كَيْفَ حَالُكَ؟ | kayfa haaluka?
I am fine | أَنَا بِخَيْرٍ | ana bi-khayr

============================================================

SUMMARY:
- 96 core words/phrases (10-12 per lesson)
- Each lesson includes 1-2 essential phrases using that lesson's grammar
- LLM introduces additional contextual vocabulary during teaching
- Keeps spaced repetition focused on core curriculum
- Enables natural, varied teaching without rigid vocabulary limits

Created: 2026-03-13
